fips,unemp,year
1001,5.3,2016
1003,5.4,2016
1005,8.6,2016
1007,6.6,2016
1009,5.5,2016
1011,7.2,2016
1013,7.1,2016
1015,6.7,2016
1017,5.5,2016
1019,5.2,2016
1021,5.6,2016
1023,8.9,2016
1025,11.1,2016
1027,6.2,2016
1029,6.1,2016
1031,6.1,2016
1033,7,2016
1035,8.6,2016
1037,6.1,2016
1039,7,2016
1041,6,2016
1043,5.1,2016
1045,5.9,2016
1047,9.4,2016
1049,6.2,2016
1051,4.9,2016
1053,6.7,2016
1055,6,2016
1057,7,2016
1059,6.1,2016
1061,5.9,2016
1063,10.1,2016
1065,7.8,2016
1067,6.6,2016
1069,5.9,2016
1071,6.4,2016
1073,5.9,2016
1075,5.7,2016
1077,6.4,2016
1079,7,2016
1081,5.3,2016
1083,5.3,2016
1085,10.8,2016
1087,7.7,2016
1089,5.2,2016
1091,7.4,2016
1093,6.7,2016
1095,5.5,2016
1097,6.9,2016
1099,9.4,2016
1101,5.9,2016
1103,5.6,2016
1105,10.6,2016
1107,6.9,2016
1109,6.4,2016
1111,5.7,2016
1113,5.6,2016
1115,5.3,2016
1117,4.4,2016
1119,7.8,2016
1121,6.8,2016
1123,5.6,2016
1125,5.8,2016
1127,7.6,2016
1129,8.7,2016
1131,14.7,2016
1133,7.3,2016
2013,2.7,2016
2016,3.3,2016
2020,5.3,2016
2050,14.1,2016
2060,6.9,2016
2068,8.6,2016
2070,9.7,2016
2090,5.7,2016
2100,9.8,2016
2105,11.5,2016
2110,4.4,2016
2122,8.2,2016
2130,6.2,2016
2150,5,2016
2158,21.3,2016
2164,12.3,2016
2170,8.1,2016
2180,12.5,2016
2185,6.5,2016
2188,15.7,2016
2195,8.6,2016
2198,11.7,2016
2220,4.3,2016
2230,10.6,2016
2240,10.2,2016
2261,8.2,2016
2275,7.3,2016
2282,8.1,2016
2290,17.2,2016
4001,11.3,2016
4003,6.1,2016
4005,5.9,2016
4007,7.2,2016
4009,6.7,2016
4011,7.6,2016
4012,6,2016
4013,4.5,2016
4015,6.6,2016
4017,8.1,2016
4019,4.9,2016
4021,5.5,2016
4023,9.9,2016
4025,4.9,2016
4027,18.6,2016
5001,3.5,2016
5003,6.3,2016
5005,4.3,2016
5007,2.9,2016
5009,3.7,2016
5011,5.2,2016
5013,4.7,2016
5015,3.6,2016
5017,6.6,2016
5019,4.5,2016
5021,5.7,2016
5023,6,2016
5025,4.6,2016
5027,5.8,2016
5029,5.8,2016
5031,3.3,2016
5033,3.9,2016
5035,4.6,2016
5037,4.5,2016
5039,5,2016
5041,5.5,2016
5043,5.8,2016
5045,3.8,2016
5047,4.1,2016
5049,4.4,2016
5051,4.3,2016
5053,3.6,2016
5055,4.3,2016
5057,3.8,2016
5059,4,2016
5061,3.3,2016
5063,5,2016
5065,5.6,2016
5067,6.2,2016
5069,5.6,2016
5071,4.8,2016
5073,5.9,2016
5075,4.4,2016
5077,4.8,2016
5079,4.9,2016
5081,4.7,2016
5083,4.6,2016
5085,3.4,2016
5087,3.2,2016
5089,4,2016
5091,4.2,2016
5093,6.8,2016
5095,4.9,2016
5097,5.3,2016
5099,3.7,2016
5101,3.9,2016
5103,5.1,2016
5105,4.8,2016
5107,5.9,2016
5109,4.3,2016
5111,4.3,2016
5113,4.9,2016
5115,4.6,2016
5117,3.9,2016
5119,3.6,2016
5121,4.7,2016
5123,5.2,2016
5125,3.2,2016
5127,3.8,2016
5129,4.5,2016
5131,3.7,2016
5133,5,2016
5135,5.5,2016
5137,5.2,2016
5139,5.5,2016
5141,7,2016
5143,2.7,2016
5145,5.2,2016
5147,5.5,2016
5149,4.5,2016
6001,4.2,2016
6003,6.5,2016
6005,5.9,2016
6007,6.5,2016
6009,5.6,2016
6011,15.5,2016
6013,4.4,2016
6015,7.5,2016
6017,5.1,2016
6019,9.4,2016
6021,8.2,2016
6023,4.9,2016
6025,23.5,2016
6027,5.2,2016
6029,10.3,2016
6031,10,2016
6033,6.6,2016
6035,6.9,2016
6037,5.2,2016
6039,9.2,2016
6041,3.2,2016
6043,6.9,2016
6045,5.2,2016
6047,10.5,2016
6049,7.8,2016
6051,5.3,2016
6053,7.6,2016
6055,4.3,2016
6057,4.7,2016
6059,4,2016
6061,4.4,2016
6063,9.6,2016
6065,6.1,2016
6067,5.4,2016
6069,6.8,2016
6071,5.7,2016
6073,4.7,2016
6075,3.3,2016
6077,8.1,2016
6079,4.3,2016
6081,3,2016
6083,5,2016
6085,3.8,2016
6087,6.9,2016
6089,6.9,2016
6091,7.6,2016
6093,8.5,2016
6095,5.5,2016
6097,4,2016
6099,8.5,2016
6101,9.6,2016
6103,7.1,2016
6105,7.1,2016
6107,11,2016
6109,6.2,2016
6111,5.2,2016
6113,5.8,2016
6115,8.5,2016
8001,3.6,2016
8003,4.1,2016
8005,3.1,2016
8007,3.3,2016
8009,1.7,2016
8011,3.1,2016
8013,2.7,2016
8014,2.9,2016
8015,2.7,2016
8017,2.3,2016
8019,3.2,2016
8021,4.9,2016
8023,4.9,2016
8025,3.6,2016
8027,3.2,2016
8029,5,2016
8031,3.1,2016
8033,4,2016
8035,2.7,2016
8037,2.8,2016
8039,2.7,2016
8041,3.8,2016
8043,5.3,2016
8045,3.6,2016
8047,2.4,2016
8049,2.7,2016
8051,2.3,2016
8053,2.3,2016
8055,6.4,2016
8057,2.7,2016
8059,3,2016
8061,2.1,2016
8063,2.1,2016
8065,2.9,2016
8067,2.9,2016
8069,2.8,2016
8071,5.2,2016
8073,2.6,2016
8075,3,2016
8077,5.4,2016
8079,2.2,2016
8081,4,2016
8083,5,2016
8085,4.2,2016
8087,3.5,2016
8089,4.8,2016
8091,3.8,2016
8093,2.8,2016
8095,2,2016
8097,3.4,2016
8099,3.3,2016
8101,4.9,2016
8103,5.1,2016
8105,5.1,2016
8107,2.7,2016
8109,4.9,2016
8111,3.8,2016
8113,3.3,2016
8115,2.4,2016
8117,2.1,2016
8119,3.8,2016
8121,2.2,2016
8123,3.4,2016
8125,2.2,2016
9001,4.8,2016
9003,5.3,2016
9005,4.6,2016
9007,4.4,2016
9009,5.5,2016
9011,5,2016
9013,4.4,2016
9015,5.5,2016
10001,4.7,2016
10003,4.3,2016
10005,4.4,2016
11001,6,2016
12001,4.3,2016
12003,4.9,2016
12005,4.9,2016
12007,4.3,2016
12009,5.2,2016
12011,4.6,2016
12013,5.7,2016
12015,5.3,2016
12017,6.8,2016
12019,4.5,2016
12021,4.8,2016
12023,4.8,2016
12027,5.2,2016
12029,5.5,2016
12031,5,2016
12033,4.9,2016
12035,5.5,2016
12037,4.3,2016
12039,6.3,2016
12041,5.1,2016
12043,6.2,2016
12045,4.5,2016
12047,5.6,2016
12049,6.7,2016
12051,9.1,2016
12053,6.1,2016
12055,6.6,2016
12057,4.5,2016
12059,5.4,2016
12061,6.2,2016
12063,5.3,2016
12065,5.3,2016
12067,4.1,2016
12069,4.9,2016
12071,4.6,2016
12073,4.6,2016
12075,5.2,2016
12077,5.3,2016
12079,5.3,2016
12081,4.6,2016
12083,5.8,2016
12085,4.9,2016
12086,5.4,2016
12087,3.2,2016
12089,4.6,2016
12091,4,2016
12093,5.4,2016
12095,4.4,2016
12097,5,2016
12099,4.8,2016
12101,5.2,2016
12103,4.4,2016
12105,5.6,2016
12107,6.3,2016
12109,3.7,2016
12111,5.7,2016
12113,4.5,2016
12115,4.6,2016
12117,4.3,2016
12119,7,2016
12121,4.9,2016
12123,5.5,2016
12125,4.4,2016
12127,5.1,2016
12129,4.1,2016
12131,4.3,2016
12133,5.2,2016
13001,6.4,2016
13003,5.2,2016
13005,5.3,2016
13007,7.7,2016
13009,6.8,2016
13011,4.9,2016
13013,4.7,2016
13015,5.1,2016
13017,8.1,2016
13019,6.2,2016
13021,6,2016
13023,7.2,2016
13025,6.7,2016
13027,5.2,2016
13029,4.9,2016
13031,5.7,2016
13033,7.6,2016
13035,5.6,2016
13037,5.8,2016
13039,5.7,2016
13043,4.9,2016
13045,6,2016
13047,4.8,2016
13049,5.8,2016
13051,5.2,2016
13053,8.4,2016
13055,6.2,2016
13057,4.2,2016
13059,5.6,2016
13061,10.5,2016
13063,6.6,2016
13065,6.2,2016
13067,4.6,2016
13069,5.9,2016
13071,5.3,2016
13073,4.7,2016
13075,5.4,2016
13077,5,2016
13079,5.9,2016
13081,6.1,2016
13083,5.1,2016
13085,4.7,2016
13087,6.7,2016
13089,5.4,2016
13091,7.4,2016
13093,5.8,2016
13095,6.9,2016
13097,5.5,2016
13099,7,2016
13101,4.3,2016
13103,4.9,2016
13105,6.5,2016
13107,7.8,2016
13109,5,2016
13111,5.3,2016
13113,4.7,2016
13115,6,2016
13117,4.2,2016
13119,5.3,2016
13121,5.4,2016
13123,5.6,2016
13125,6.1,2016
13127,5.3,2016
13129,5.7,2016
13131,5.5,2016
13133,5.8,2016
13135,4.7,2016
13137,5.3,2016
13139,4.5,2016
13141,8.4,2016
13143,5.8,2016
13145,5,2016
13147,5.5,2016
13149,5.9,2016
13151,5.5,2016
13153,5.4,2016
13155,7.7,2016
13157,4.2,2016
13159,4.8,2016
13161,6.3,2016
13163,7.5,2016
13165,7.6,2016
13167,6.2,2016
13169,4.9,2016
13171,6.5,2016
13173,5.7,2016
13175,6.7,2016
13177,4.8,2016
13179,5.8,2016
13181,5.9,2017
13183,5.5,2017
13185,5.2,2017
13187,4.9,2017
13189,7.2,2017
13191,5.8,2017
13193,8.3,2017
13195,5,2017
13197,7.4,2017
13199,6.8,2017
13201,5.5,2017
13205,6.6,2017
13207,5.2,2017
13209,7.6,2017
13211,5,2017
13213,6.9,2017
13215,6.9,2017
13217,6,2017
13219,4.1,2017
13221,4.9,2017
13223,4.6,2017
13225,6.9,2017
13227,4.9,2017
13229,5.4,2017
13231,5.2,2017
13233,6.1,2017
13235,5.9,2017
13237,7,2017
13239,7.4,2017
13241,5.9,2017
13243,8.5,2017
13245,6.7,2017
13247,5.7,2017
13249,6.4,2017
13251,7.6,2017
13253,7.9,2017
13255,6.8,2017
13257,5.9,2017
13259,6.6,2017
13261,7.7,2017
13263,6.7,2017
13265,6.5,2017
13267,5.4,2017
13269,7.2,2017
13271,8.6,2017
13273,6.6,2017
13275,6.4,2017
13277,5.5,2017
13279,7.8,2017
13281,6.7,2017
13283,7.8,2017
13285,5.1,2017
13287,6.6,2017
13289,8.7,2017
13291,4.7,2017
13293,6.5,2017
13295,5.6,2017
13297,4.9,2017
13299,5.5,2017
13301,7,2017
13303,6.4,2017
13305,6.7,2017
13307,8.8,2017
13309,9.1,2017
13311,4.6,2017
13313,5.9,2017
13315,7,2017
13317,6.3,2017
13319,6.3,2017
13321,5.9,2017
15001,3.8,2017
15003,2.8,2017
15007,3.3,2017
15009,3.2,2017
16001,3.3,2017
16003,7.1,2017
16005,3.5,2017
16007,4.6,2017
16009,6.2,2017
16011,3.6,2017
16013,3.2,2017
16015,5.5,2017
16017,5.5,2017
16019,3.2,2017
16021,5.3,2017
16023,4.1,2017
16025,3.8,2017
16027,4.4,2017
16029,3.7,2017
16031,3,2017
16033,3.5,2017
16035,7.5,2017
16037,5.2,2017
16039,4.2,2017
16041,3.1,2017
16043,3.4,2017
16045,4.7,2017
16047,3.1,2017
16049,5.7,2017
16051,3.1,2017
16053,3.1,2017
16055,4.8,2017
16057,3.3,2017
16059,6.3,2017
16061,6.5,2017
16063,4.5,2017
16065,2.5,2017
16067,3.3,2017
16069,3.4,2017
16071,3.7,2017
16073,4.5,2017
16075,4.7,2017
16077,4.2,2017
16079,7.3,2017
16081,3.2,2017
16083,3.4,2017
16085,5.6,2017
16087,5.7,2017
17001,4.8,2017
17003,9.2,2017
17005,5.1,2017
17007,6.3,2017
17009,3.4,2017
17011,6.1,2017
17013,6.3,2017
17015,5.7,2017
17017,5.6,2017
17019,5.1,2017
17021,6.3,2017
17023,5.9,2017
17025,6.8,2017
17027,4.5,2017
17029,5.9,2017
17031,6.2,2017
17033,6.2,2017
17035,5.2,2017
17037,5.4,2017
17039,5.7,2017
17041,4.7,2017
17043,4.8,2017
17045,6,2017
17047,5.8,2017
17049,4.7,2017
17051,6.7,2017
17053,5.5,2017
17055,8.1,2017
17057,7.4,2017
17059,7.6,2017
17061,5.9,2017
17063,6.8,2017
17065,6.3,2017
17067,6.6,2017
17069,9.8,2017
17071,6.2,2017
17073,6.1,2017
17075,5.5,2017
17077,5.4,2017
17079,6.3,2017
17081,6.5,2017
17083,5.8,2017
17085,5.4,2017
17087,8.6,2017
17089,5.5,2017
17091,6.4,2017
17093,5.2,2017
17095,6.1,2017
17097,5.2,2017
17099,6.7,2017
17101,7.5,2017
17103,5.1,2017
17105,5.5,2017
17107,5.3,2017
17109,6.3,2017
17111,5.3,2017
17113,5.1,2017
17115,6.6,2017
17117,6,2017
17119,5.9,2017
17121,6.4,2017
17123,6.6,2017
17125,7.1,2017
17127,7,2017
17129,4.6,2017
17131,6.2,2017
17133,4.1,2017
17135,7.1,2017
17137,4.9,2017
17139,4.6,2017
17141,5.9,2017
17143,6.8,2017
17145,7.1,2017
17147,5,2017
17149,5.1,2017
17151,7,2017
17153,8.8,2017
17155,5.6,2017
17157,5,2017
17159,6,2017
17161,6.3,2017
17163,6.1,2017
17165,8.6,2017
17167,4.9,2017
17169,5.8,2017
17171,5.6,2017
17173,5.8,2017
17175,7.2,2017
17177,5.8,2017
17179,6.3,2017
17181,7.4,2017
17183,7.2,2017
17185,6.4,2017
17187,5.3,2017
17189,3.8,2017
17191,8.6,2017
17193,6.6,2017
17195,5.8,2017
17197,6.1,2017
17199,6.2,2017
17201,6.6,2017
17203,5.4,2017
18001,3.6,2017
18003,4.3,2017
18005,3.4,2017
18007,4.2,2017
18009,5.4,2017
18011,3.4,2017
18013,4,2017
18015,4.2,2017
18017,4.7,2017
18019,4.1,2017
18021,4.7,2017
18023,3.9,2017
18025,5.6,2017
18027,3.6,2017
18029,4.7,2017
18031,3.6,2017
18033,3.9,2017
18035,5.2,2017
18037,3.1,2017
18039,3.5,2017
18041,5.8,2017
18043,4.1,2017
18045,5.8,2017
18047,4.3,2017
18049,4.7,2017
18051,3.7,2017
18053,5,2017
18055,6.6,2017
18057,3.2,2017
18059,3.8,2017
18061,4.2,2017
18063,3.5,2017
18065,4.6,2017
18067,4.7,2017
18069,4.1,2017
18071,3.7,2017
18073,5.3,2017
18075,4.6,2017
18077,4.7,2017
18079,4.8,2017
18081,3.6,2017
18083,4.4,2017
18085,3.7,2017
18087,3.4,2017
18089,6.3,2017
18091,5.9,2017
18093,5.7,2017
18095,5,2017
18097,4.4,2017
18099,3.8,2017
18101,4.2,2017
18103,4.7,2017
18105,4.6,2017
18107,3.9,2017
18109,4.2,2017
18111,5.6,2017
18113,4.1,2017
18115,4.9,2017
18117,5.1,2017
18119,5.5,2017
18121,5.3,2017
18123,4.6,2017
18125,4.4,2017
18127,5.1,2017
18129,4,2017
18131,4.6,2017
18133,4.5,2017
18135,4.5,2017
18137,4.6,2017
18139,3.8,2017
18141,4.5,2017
18143,4.8,2017
18145,4,2017
18147,4.1,2017
18149,5.4,2017
18151,3.7,2017
18153,5.9,2017
18155,4.9,2017
18157,4,2017
18159,3.9,2017
18161,4,2017
18163,4.1,2017
18165,6.6,2017
18167,5.4,2017
18169,4.3,2017
18171,4.9,2017
18173,4.1,2017
18175,4.5,2017
18177,4.8,2017
18179,3.6,2017
18181,4,2017
18183,3.9,2017
19001,3,2017
19003,2.7,2017
19005,5,2017
19007,4.8,2017
19009,3.3,2017
19011,3.6,2017
19013,4.7,2017
19015,2.8,2017
19017,3.7,2017
19019,4.2,2017
19021,3.6,2017
19023,4.4,2017
19025,3.9,2017
19027,2.6,2017
19029,3.3,2017
19031,3.4,2017
19033,3.7,2017
19035,3.7,2017
19037,4.5,2017
19039,3.4,2017
19041,3.9,2017
19043,4.3,2017
19045,5,2017
19047,5.6,2017
19049,2.7,2017
19051,4.3,2017
19053,3.3,2017
19055,3.5,2017
19057,5,2017
19059,4.4,2017
19061,3.6,2017
19063,4.3,2017
19065,4.5,2017
19067,3.7,2017
19069,3.5,2017
19071,3.3,2017
19073,3.2,2017
19075,3.5,2017
19077,3.6,2017
19079,3.8,2017
19081,2.7,2017
19083,4,2017
19085,3.4,2017
19087,3.6,2017
19089,3.7,2017
19091,2.9,2017
19093,2.6,2017
19095,3.1,2017
19097,4.2,2017
19099,3.6,2017
19101,3.7,2017
19103,2.6,2017
19105,4.3,2017
19107,4.4,2017
19109,2.7,2017
19111,6.2,2017
19113,3.7,2017
19115,4,2017
19117,3.2,2017
19119,2.1,2017
19121,3.6,2017
19123,3.8,2017
19125,3.1,2017
19127,4.9,2017
19129,3.7,2017
19131,2.7,2017
19133,4.2,2017
19135,4.7,2017
19137,3.6,2017
19139,3.9,2017
19141,2.8,2017
19143,2.7,2017
19145,5.1,2017
19147,3.2,2017
19149,2.6,2017
19151,2.9,2017
19153,3.5,2017
19155,3.4,2017
19157,3.5,2017
19159,3.5,2017
19161,3.1,2017
19163,4.6,2017
19165,3,2017
19167,2.3,2017
19169,2.4,2017
19171,4.2,2017
19173,3,2017
19175,3.8,2017
19177,3.7,2017
19179,5.9,2017
19181,3.2,2017
19183,3,2017
19185,3.9,2017
19187,4,2017
19189,3.5,2017
19191,3.6,2017
19193,3.6,2017
19195,3.5,2017
19197,4.2,2017
20001,5.9,2017
20003,4.5,2017
20005,6.4,2017
20007,4.1,2017
20009,4.7,2017
20011,5.1,2017
20013,3.9,2017
20015,4.3,2017
20017,3.7,2017
20019,5.5,2017
20021,4.6,2017
20023,2.9,2017
20025,2.9,2017
20027,4.5,2017
20029,4.5,2017
20031,6.3,2017
20033,3.4,2017
20035,4.6,2017
20037,5,2017
20039,4.2,2017
20041,4.6,2017
20043,4.1,2017
20045,3.6,2017
20047,3.1,2017
20049,5.3,2017
20051,3.2,2017
20053,4.2,2017
20055,3.2,2017
20057,3.3,2017
20059,4.3,2017
20061,5.8,2017
20063,2.6,2017
20065,5,2017
20067,3.8,2017
20069,2.3,2017
20071,2.3,2017
20073,5.2,2017
20075,2.7,2017
20077,3.9,2017
